Class,Pkmn1,Pkmn2,Pkmn3,Pkmn4,Pkmn5,Pkmn6
ace trainer,milotic,,,,,
ace trainer,zangoose,,,,,
ace trainer,sandslash,ninetales,,,,
ace trainer,mawile,starmie,,,,
ace trainer,linoone,,,,,
ace trainer,delcatty,,,,,
ace trainer,nosepass,medicham,ludicolo,,,
ace trainer,kecleon,rhyhorn,tentacruel,,,
ace trainer,linoone,,,,,
ace trainer,delcatty,,,,,
ace trainer,shiftry,graveler,loudred,,,
ace trainer,dodrio,lairon,kadabra,,,
ace trainer,claydol,,,,,
ace trainer,sableye,medicham,sharpedo,,,
ace trainer,swellow,kadabra,manectric,shiftry,,
ace trainer,graveler,magcargo,ludicolo,,,
ace trainer,mawile,roselia,pelipper,,,
ace trainer,electrike,wailmer,makuhita,,,
ace trainer,electrike,wailmer,makuhita,,,
ace trainer,manectric,wailmer,makuhita,,,
ace trainer,manectric,wailmer,hariyama,,,
ace trainer,kecleon,,,,,
ace trainer,magneton,muk,,,,
ace trainer,gloom,azumarill,,,,
ace trainer,wigglytuff,,,,,
ace trainer,snorlax,miltank,ursaring,,,
ace trainer,dusclops,ninetales,banette,,,
ace trainer,manectric,linoone,,,,
ace trainer,vigoroth,,,,,
ace trainer,swellow,trapinch,wailmer,magneton,shiftry,
ace trainer,wingull,numel,roselia,,,
ace trainer,wingull,numel,roselia,,,
ace trainer,pelipper,numel,roselia,,,
ace trainer,pelipper,numel,roselia,,,
ace trainer,pelipper,camerupt,roselia,,,
ace trainer,manectric,swellow,manectric,,,
ace trainer,skarmory,sableye,,,,
ace trainer,loudred,vigoroth,,,,
ace trainer,loudred,vigoroth,,,,
ace trainer,spinda,loudred,vigoroth,,,
ace trainer,spinda,loudred,vigoroth,,,
ace trainer,spinda,loudred,slaking,,,
ace trainer,pelipper,camerupt,,,,
ace trainer,claydol,lanturn,,,,
ace trainer,cacturne,pelipper,,,,
ace trainer,medicham,claydol,,,,
ace trainer,slakoth,,,,,
ace trainer,kecleon,,,,,
ace trainer,sableye,absol,,,,
ace trainer,roselia,,,,,
ace trainer,absol,,,,,
ace trainer,sableye,,,,,
ace trainer,zangoose,,,,,
ace trainer,kecleon,loudred,,,,
ace trainer,sandslash,ninetales,tropius,,,
ace trainer,gardevoir,slaking,,,,
ace trainer,lairon,manectric,,,,
ace trainer,manectric,,,,,
ace trainer,mawile,starmie,,,,
ace trainer,manectric,shiftry,,,,
ace trainer,manectric,,,,,
ace trainer,delcatty,,,,,
ace trainer,torkoal,medicham,ludicolo,,,
ace trainer,lunatone,solrock,,,,
ace trainer,kecleon,graveler,wailord,,,
ace trainer,spinda,,,,,
ace trainer,slaking,dusclops,,,,
ace trainer,swellow,,,,,
ace trainer,swellow,machamp,ursaring,,,
ace trainer,shiftry,nosepass,,,,
ace trainer,swellow,mawile,kadabra,,,
ace trainer,claydol,,,,,
ace trainer,sableye,medicham,sharpedo,,,
ace trainer,dodrio,kadabra,electrode,shiftry,,
ace trainer,graveler,ludicolo,,,,
ace trainer,mawile,roselia,pelipper,,,
ace trainer,electrike,wailmer,makuhita,,,
ace trainer,electrike,wailmer,makuhita,,,
ace trainer,manectric,wailmer,makuhita,,,
ace trainer,manectric,wailmer,makuhita,,,
ace trainer,manectric,wailmer,hariyama,,,
ace trainer,venusaur,,,,,
ace trainer,tyranitar,,,,,
ace trainer,clefairy,jigglypuff,persian,dewgong,chansey,
ace trainer,starmie,kingdra,,,,
ace trainer,bellsprout,weepinbell,victreebel,paras,parasect,
ace trainer,kingler,poliwhirl,tentacruel,seadra,blastoise,
ace trainer,exeggutor,sandslash,cloyster,electrode,arcanine,
ace trainer,lapras,,,,,
ace trainer,rhydon,slowbro,ursaring,machoke,kangaskhan,
ace trainer,rhydon,slowbro,ursaring,machamp,kangaskhan,
ace trainer,bellsprout,oddish,weepinbell,gloom,ivysaur,
ace trainer,persian,dewgong,ninetales,rapidash,girafarig,
ace trainer,persian,dewgong,ninetales,rapidash,girafarig,
ace trainer,persian,ponyta,rapidash,vulpix,ninetales,
ace trainer,raticate,ivysaur,wartortle,charmeleon,charizard,
ace trainer,sandslash,sandslash,rhyhorn,nidoran,nidoking,
ace trainer,cubone,cubone,rhyhorn,nidorina,nidoqueen,
ace trainer,sandslash,graveler,onix,graveler,cubone,
ace trainer,aerodactyl,,,,,
ace trainer,sneasel,tentacruel,,,,
ace trainer,gastly,haunter,gengar,,,
ace trainer,ponyta,grotle,,,,
ace trainer,snover,,,,,
ace trainer,ambipom,rapidash,chansey,,,
ace trainer,ambipom,rapidash,chansey,,,
ace trainer,raichu,gastrodon,,,,
ace trainer,ambipom,kadabra,,,,
ace trainer,pachirisu,azumarill,blissey,,,
ace trainer,azumarill,,,,,
ace trainer,pelipper,sudowoodo,,,,
ace trainer,snover,,,,,
ace trainer,misdreavus,drifblim,,,,
ace trainer,skorupi,steelix,,,,
ace trainer,lopunny,quagsire,pelipper,,,
ace trainer,raichu,hippopotas,pelipper,,,
ace trainer,raichu,hippopotas,pelipper,,,
ace trainer,mightyena,kirlia,,,,
ace trainer,flaaffy,tropius,,,,
ace trainer,ampharos,tropius,,,,
ace trainer,monferno,gyarados,,,,
ace trainer,monferno,luxio,gyarados,,,
ace trainer,monferno,luxio,gyarados,,,
ace trainer,kadabra,raichu,,,,
ace trainer,mothim,onix,luxio,,,
ace trainer,dusclops,salamence,,,,
ace trainer,mr. mime,sneasel,machoke,,,
ace trainer,skarmory,,,,,
ace trainer,honchkrow,,,,,
ace trainer,quagsire,,,,,
ace trainer,staravia,girafarig,,,,
ace trainer,staravia,girafarig,,,,
ace trainer,metagross,,,,,
ace trainer,drapion,,,,,
ace trainer,ponyta,haunter,floatzel,,,
ace trainer,golduck,sandslash,,,,
ace trainer,stantler,carnivine,,,,
ace trainer,primeape,torkoal,,,,
ace trainer,lopunny,,,,,
ace trainer,golduck,sudowoodo,ponyta,,,
ace trainer,golduck,blissey,,,,
ace trainer,glameow,kadabra,,,,
ace trainer,glameow,kadabra,,,,
ace trainer,purugly,alakazam,,,,
ace trainer,delcatty,yanma,,,,
ace trainer,bibarel,rapidash,beautifly,,,
ace trainer,meowth,persian,hypno,,,
ace trainer,kangaskhan,ursaring,,,,
ace trainer,dunsparce,marowak,scyther,,,
ace trainer,roselia,seaking,,,,
ace trainer,roselia,seaking,,,,
ace trainer,rapidash,carnivine,rampardos,,,
ace trainer,pinsir,mightyena,,,,
ace trainer,lickitung,miltank,,,,
ace trainer,lickitung,miltank,,,,
ace trainer,poliwhirl,gyarados,,,,
ace trainer,granbull,,,,,
ace trainer,tauros,,,,,
ace trainer,tauros,,,,,
ace trainer,pelipper,golduck,steelix,,,
ace trainer,floatzel,sneasel,,,,
ace trainer,cherrim,marill,lopunny,,,
ace trainer,cherrim,marill,lopunny,,,
ace trainer,loudred,rampardos,,,,
ace trainer,larvitar,magcargo,,,,
ace trainer,clefable,torterra,,,,
ace trainer,steelix,medicham,,,,
ace trainer,glalie,crobat,,,,
ace trainer,sneasel,sneasel,,,,
ace trainer,gastly,gastly,haunter,,,
ace trainer,aipom,grotle,girafarig,,,
ace trainer,glalie,,,,,
ace trainer,gastrodon,beedrill,electrode,,,
ace trainer,ambipom,porygon2,,,,
ace trainer,marowak,kangaskhan,,,,
ace trainer,bronzor,bronzor,bronzor,,,
ace trainer,lopunny,medicham,kirlia,,,
ace trainer,sneasel,snorunt,snover,,,
ace trainer,haunter,misdreavus,,,,
ace trainer,scizor,,,,,
ace trainer,swalot,ninetales,magnezone,,,
ace trainer,electabuzz,magmar,,,,
ace trainer,electivire,magmortar,,,,
ace trainer,mightyena,kirlia,,,,
ace trainer,flaaffy,tropius,,,,
ace trainer,ampharos,tropius,,,,
ace trainer,gligar,drifblim,buizel,,,
ace trainer,gligar,drifblim,floatzel,,,
ace trainer,gliscor,drifblim,floatzel,,,
ace trainer,electabuzz,raichu,,,,
ace trainer,scyther,luxio,probopass,,,
ace trainer,dusclops,salamence,,,,
ace trainer,mr. mime,dusclops,scyther,,,
ace trainer,tyrogue,hitmonchan,,,,
ace trainer,rhydon,carnivine,,,,
ace trainer,piloswine,,,,,
ace trainer,staraptor,girafarig,,,,
ace trainer,staraptor,girafarig,,,,
ace trainer,metagross,,,,,
ace trainer,drapion,,,,,
ace trainer,quagsire,staraptor,hippopotas,,,
ace trainer,golduck,sandslash,manectric,,,
ace trainer,jumpluff,ampharos,onix,,,
ace trainer,primeape,banette,electabuzz,,,
ace trainer,tropius,,,,,
ace trainer,golduck,sudowoodo,rapidash,,,
ace trainer,blissey,glalie,magnezone,,,
ace trainer,roselia,ralts,lickitung,,,
ace trainer,roselia,kirlia,lickitung,,,
ace trainer,roserade,gardevoir,lickilicky,,,
ace trainer,delcatty,abomasnow,,,,
ace trainer,metang,ludicolo,,,,
ace trainer,seviper,persian,absol,,,
ace trainer,luxray,ursaring,gliscor,,,
ace trainer,sandslash,gastrodon,claydol,,,
ace trainer,wigglytuff,gardevoir,medicham,,,
ace trainer,kirlia,buneary,seaking,,,
ace trainer,gardevoir,seaking,lopunny,,,
ace trainer,mamoswine,mothim,rampardos,,,
ace trainer,pinsir,lanturn,,,,
ace trainer,starmie,vibrava,,,,
ace trainer,starmie,flygon,,,,
ace trainer,nuzleaf,gyarados,,,,
ace trainer,dugtrio,raichu,ninetales,,,
ace trainer,tauros,,,,,
ace trainer,tauros,,,,,
ace trainer,snorunt,snorunt,glalie,,,
ace trainer,snover,sneasel,,,,
ace trainer,cherrim,azumarill,lopunny,,,
ace trainer,misdreavus,azumarill,lopunny,,,
ace trainer,loudred,rampardos,pelipper,,,
ace trainer,pupitar,torterra,,,,
ace trainer,clefable,torterra,,,,
ace trainer,electabuzz,magneton,,,,
ace trainer,charmeleon,magnemite,,,,
ace trainer,ivysaur,charmeleon,wartortle,,,
ace trainer,stantler,tauros,,,,
ace trainer,magneton,quagsire,exeggcute,,,
ace trainer,spinda,sudowoodo,,,,
ace trainer,mareep,,,,,
ace trainer,meganium,typhlosion,feraligatr,,,
ace trainer,electrode,starmie,ninetales,,,
ace trainer,horsea,seadra,,,,
ace trainer,mareep,bellossom,,,,
ace trainer,poliwhirl,,,,,
ace trainer,seadra,,,,,
ace trainer,absol,alakazam,,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,victreebel,kingler,flareon,,,
ace trainer,eevee,vaporeon,jolteon,flareon,,
ace trainer,goldeen,seaking,,,,
ace trainer,paras,golduck,vaporeon,,,
ace trainer,rapidash,flaaffy,,,,
ace trainer,rapidash,ampharos,,,,
ace trainer,rapidash,ampharos,,,,
ace trainer,rapidash,ampharos,,,,
ace trainer,staryu,starmie,,,,
ace trainer,pikachu,blastoise,,,,
ace trainer,shellder,cloyster,,,,
ace trainer,marill,wartortle,wartortle,,,
ace trainer,rhyhorn,charmeleon,wartortle,,,
ace trainer,dragonair,,,,,
ace trainer,mareep,ninetales,,,,
ace trainer,dratini,dragonair,,,,
ace trainer,bulbasaur,ivysaur,venusaur,,,
ace trainer,dragonair,,,,,
ace trainer,charmander,bulbasaur,squirtle,,,
ace trainer,dratini,dratini,seadra,,,
ace trainer,ivysaur,starmie,,,,
ace trainer,growlithe,nidorina,staryu,,,
ace trainer,growlithe,nidorina,staryu,,,
ace trainer,arcanine,nidoqueen,starmie,,,
ace trainer,arcanine,nidoqueen,starmie,,,
ace trainer,pidgeot,electabuzz,,,,
ace trainer,slowking,lickilicky,,,,
ace trainer,jolteon,tangela,tauros,,,
roughneck,machop,mankey,machop,,,
roughneck,mankey,machop,,,,
roughneck,machop,,,,,
roughneck,machop,machoke,,,,
roughneck,mankey,primeape,,,,
roughneck,machoke,,,,,
roughneck,primeape,machoke,,,,
roughneck,mankey,mankey,machoke,machop,,
roughneck,tentacool,tentacool,tentacruel,,,
roughneck,mankey,machop,,,,
roughneck,mankey,machoke,,,,
roughneck,mankey,machoke,,,,
roughneck,mankey,machamp,,,,
roughneck,smoochum,,,,,
roughneck,machop,machamp,,,,
roughneck,machoke,machamp,,,,
roughneck,mankey,mankey,machamp,machop,,
roughneck,machop,mankey,machop,,,
roughneck,mankey,machop,,,,
roughneck,weezing,muk,,,,
roughneck,mankey,primeape,,,,
roughneck,machoke,,,,,
roughneck,clefairy,,,,,
roughneck,clefairy,,,,,
engineer,magnemite,magnemite,magneton,,,
engineer,magnemite,,,,,
engineer,voltorb,magnemite,,,,
engineer,magnemite,magnemite,magneton,,,
engineer,magneton,magneton,magneton,,,
engineer,magnemite,,,,,
engineer,granbull,,,,,
engineer,nidoqueen,,,,,
fisherman,goldeen,tentacool,goldeen,,,
fisherman,tentacool,staryu,shellder,,,
fisherman,goldeen,poliwag,goldeen,,,
fisherman,tentacool,goldeen,,,,
fisherman,goldeen,,,,,
fisherman,poliwag,shellder,goldeen,horsea,,
fisherman,magikarp,magikarp,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,seaking,goldeen,seaking,seaking,,
fisherman,shellder,cloyster,,,,
fisherman,seaking,goldeen,,,,
fisherman,gyarados,,,,,
fisherman,tentacruel,,,,,
fisherman,gyarados,gyarados,gyarados,,,
fisherman,qwilfish,,,,,
fisherman,qwilfish,,,,,
fisherman,goldeen,goldeen,qwilfish,,,
fisherman,remoraid,remoraid,,,,
fisherman,poliwag,poliwag,,,,
fisherman,shellder,octillery,cloyster,remoraid,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,seaking,poliwhirl,seaking,,,
fisherman,remoraid,remoraid,,,,
fisherman,magikarp,gyarados,magikarp,gyarados,,
fisherman,goldeen,,,,,
fisherman,goldeen,,,,,
fisherman,qwilfish,goldeen,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,qwilfish,qwilfish,magikarp,,,
fisherman,magikarp,magikarp,qwilfish,tentacruel,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,goldeen,seaking,seaking,,,
fisherman,gyarados,,,,,
fisherman,tentacruel,,,,,
fisherman,gyarados,gyarados,gyarados,,,
fisherman,remoraid,remoraid,,,,
fisherman,poliwag,poliwag,,,,
fisherman,shellder,octillery,cloyster,remoraid,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,seaking,poliwhirl,seaking,,,
fisherman,remoraid,remoraid,,,,
fisherman,magikarp,gyarados,magikarp,gyarados,,
fisherman,goldeen,,,,,
fisherman,goldeen,,,,,
fisherman,qwilfish,goldeen,,,,
fisherman,qwilfish,goldeen,,,,
fisherman,qwilfish,seaking,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,qwilfish,qwilfish,seaking,,,
fisherman,magikarp,magikarp,qwilfish,tentacruel,,
fisherman,qwilfish,,,,,
fisherman,qwilfish,,,,,
fisherman,goldeen,goldeen,qwilfish,,,
fisherman,seaking,seaking,qwilfish,,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,seaking,seaking,remoraid,,,
fisherman,magikarp,tentacool,magikarp,,,
fisherman,carvanha,carvanha,,,,
fisherman,tentacool,tentacool,wailmer,tentacool,,
fisherman,goldeen,goldeen,goldeen,barboach,,
fisherman,tentacool,wailmer,tentacool,tentacool,,
fisherman,magikarp,tentacool,magikarp,,,
fisherman,tentacool,gyarados,gyarados,,,
fisherman,gyarados,tentacool,carvanha,gyarados,,
fisherman,gyarados,tentacruel,carvanha,gyarados,,
fisherman,gyarados,tentacruel,sharpedo,gyarados,,
fisherman,magikarp,tentacool,feebas,carvanha,,
fisherman,tentacool,tentacruel,carvanha,,,
fisherman,magikarp,magikarp,magikarp,,,
fisherman,wailmer,tentacool,wailmer,sharpedo,,
fisherman,tentacool,,,,,
fisherman,barboach,,,,,
fisherman,magikarp,magikarp,gyarados,magikarp,,
fisherman,magikarp,gyarados,gyarados,gyarados,gyarados,gyarados
fisherman,carvanha,,,,,
fisherman,tentacool,tentacool,wailmer,tentacruel,,
fisherman,magikarp,tentacool,magikarp,,,
fisherman,tentacool,carvanha,,,,
fisherman,wailmer,tentacruel,,,,
fisherman,magikarp,tentacool,feebas,carvanha,,
fisherman,magikarp,goldeen,barboach,,,
fisherman,tentacool,wailmer,tentacool,wailmer,,
fisherman,magikarp,,,,,
fisherman,magikarp,tentacool,magikarp,,,
fisherman,tentacool,gyarados,gyarados,,,
fisherman,gyarados,carvanha,tentacool,gyarados,,
fisherman,gyarados,carvanha,tentacruel,gyarados,,
fisherman,gyarados,sharpedo,tentacruel,gyarados,,
fisherman,carvanha,tentacruel,,,,
fisherman,magikarp,magikarp,magikarp,,,
fisherman,wailmer,tentacool,sharpedo,,,
fisherman,barboach,,,,,
fisherman,tentacool,,,,,
fisherman,magikarp,magikarp,gyarados,,,
fisherman,magikarp,gyarados,gyarados,gyarados,gyarados,gyarados
fisherman,tentacool,,,,,
fisherman,tentacool,tentacool,wailmer,,,
fisherman,magikarp,magikarp,,,,
fisherman,tentacool,staryu,shellder,,,
fisherman,tentacool,goldeen,,,,
fisherman,goldeen,goldeen,tentacool,,,
fisherman,shellder,cloyster,,,,
fisherman,poliwag,shellder,goldeen,horsea,,
fisherman,poliwhirl,cloyster,seaking,seadra,,
fisherman,goldeen,,,,,
fisherman,seaking,,,,,
fisherman,goldeen,poliwag,goldeen,,,
fisherman,seaking,goldeen,,,,
fisherman,seaking,goldeen,seaking,seaking,,
fisherman,goldeen,goldeen,seaking,seaking,seaking,
fisherman,qwilfish,qwilfish,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,magikarp,gyarados,,,,
fisherman,gyarados,gyarados,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,magikarp,finneon,feebas,,,
fisherman,goldeen,barboach,,,,
fisherman,barboach,gyarados,,,,
fisherman,gyarados,gyarados,remoraid,,,
fisherman,magikarp,finneon,gyarados,,,
fisherman,goldeen,barboach,gyarados,,,
fisherman,magikarp,gyarados,remoraid,finneon,,
fisherman,goldeen,,,,,
fisherman,seaking,,,,,
fisherman,seaking,,,,,
fisherman,gyarados,,,,,
fisherman,magikarp,remoraid,gyarados,,,
fisherman,magikarp,gyarados,magikarp,magikarp,magikarp,
fisherman,gyarados,gyarados,,,,
fisherman,gyarados,gyarados,,,,
fisherman,barboach,barboach,barboach,shellos,,
fisherman,barboach,,,,,
fisherman,magikarp,goldeen,magikarp,,,
fisherman,magikarp,gyarados,,,,
fisherman,gyarados,gyarados,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,magikarp,finneon,feebas,,,
fisherman,barboach,gyarados,,,,
fisherman,gyarados,gyarados,remoraid,,,
fisherman,finneon,finneon,finneon,,,
fisherman,goldeen,gyarados,seaking,,,
fisherman,magikarp,gyarados,remoraid,finneon,,
fisherman,goldeen,,,,,
fisherman,seaking,,,,,
fisherman,seaking,,,,,
fisherman,goldeen,goldeen,,,,
fisherman,gyarados,,,,,
fisherman,remoraid,remoraid,gyarados,,,
fisherman,remoraid,gyarados,remoraid,remoraid,remoraid,
fisherman,gyarados,gyarados,,,,
fisherman,gyarados,gyarados,octillery,,,
fisherman,barboach,barboach,barboach,gyarados,,
fisherman,whiscash,,,,,
fisherman,magikarp,goldeen,magikarp,,,
fisherman,gyarados,,,,,
fisherman,shellder,,,,,
fisherman,gyarados,gyarados,gyarados,,,
fisherman,remoraid,remoraid,,,,
fisherman,lanturn,mantine,,,,
fisherman,poliwag,poliwag,,,,
fisherman,shellder,octillery,cloyster,remoraid,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,goldeen,goldeen,qwilfish,,,
fisherman,seaking,seaking,qwilfish,,,
fisherman,seaking,seaking,qwilfish,krabby,,
fisherman,seaking,seaking,qwilfish,kingler,,
fisherman,magikarp,magikarp,magikarp,,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,
fisherman,magikarp,magikarp,magikarp,magikarp,magikarp,magikarp
fisherman,seadra,,,,,
fisherman,remoraid,octillery,,,,
fisherman,magikarp,magikarp,gyarados,,,
fisherman,corsola,corsola,corsola,corsola,,
fisherman,goldeen,,,,,
fisherman,seaking,,,,,
fisherman,qwilfish,seaking,,,,
fisherman,qwilfish,seaking,,,,
fisherman,magikarp,magikarp,magikarp,magikarp,,
fisherman,qwilfish,qwilfish,seaking,,,
fisherman,quagsire,qwilfish,tentacruel,,,
fisherman,qwilfish,,,,,
fisherman,qwilfish,,,,,
fisherman,goldeen,goldeen,qwilfish,,,
fisherman,seaking,seaking,qwilfish,,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,goldeen,goldeen,seaking,,,
fisherman,goldeen,seaking,seaking,,,
fisherman,seaking,seaking,seaking,,,
gambler,poliwag,horsea,,,,
gambler,bellsprout,oddish,,,,
gambler,growlithe,vulpix,,,,
gambler,voltorb,magnemite,,,,
gambler,growlithe,vulpix,,,,
gambler,poliwag,poliwag,poliwhirl,,,
gambler,growlithe,vulpix,,,,
gambler,growlithe,vulpix,,,,
gambler,voltorb,magnemite,,,,
gambler,poliwag,horsea,,,,
gambler,bellsprout,oddish,,,,
gambler,growlithe,vulpix,,,,
gambler,growlithe,vulpix,,,,
gambler,poliwag,poliwag,poliwhirl,,,
gambler,goldeen,goldeen,goldeen,,,
gambler,goldeen,seaking,seaking,,,
gambler,seaking,seaking,seaking,,,
gambler,goldeen,goldeen,,,,
gambler,goldeen,,,,,
gambler,seaking,,,,,
gambler,seaking,,,,,
gambler,rhyhorn,,,,,
gentleman,growlithe,growlithe,,,,
gentleman,nidoran,nidoran,,,,
gentleman,pikachu,,,,,
gentleman,growlithe,ponyta,,,,
gentleman,pikachu,,,,,
gentleman,growlithe,growlithe,,,,
gentleman,nidoran,nidoran,,,,
gentleman,magnemite,voltorb,,,,
gentleman,growlithe,ponyta,,,,
gentleman,magnemite,voltorb,,,,
gentleman,noctowl,,,,,
gentleman,persian,,,,,
gentleman,pikachu,flaaffy,,,,
gentleman,growlithe,growlithe,,,,
gentleman,zangoose,,,,,
gentleman,manectric,manectric,,,,
gentleman,manectric,,,,,
gentleman,manectric,,,,,
gentleman,linoone,manectric,,,,
gentleman,linoone,manectric,,,,
gentleman,linoone,golduck,manectric,,,
gentleman,girafarig,,,,,
gentleman,wobbuffet,,,,,
gentleman,manectric,manectric,,,,
gentleman,spoink,,,,,
gentleman,mawile,sharpedo,banette,,,
gentleman,zangoose,,,,,
gentleman,delibird,clefairy,pikachu,,,
gentleman,manectric,,,,,
gentleman,manectric,,,,,
gentleman,linoone,manectric,,,,
gentleman,linoone,manectric,,,,
gentleman,linoone,golduck,manectric,,,
gentleman,nidoran,nidoran,,,,
gentleman,pikachu,,,,,
gentleman,cubone,golduck,,,,
gentleman,vaporeon,,,,,
gentleman,growlithe,ponyta,,,,
gentleman,growlithe,growlithe,,,,
gentleman,pikachu,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,starly,hoothoot,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,chatot,,,,,
gentleman,noctowl,,,,,
gentleman,noctowl,,,,,
gentleman,noctowl,,,,,
gentleman,noctowl,,,,,
gentleman,persian,,,,,
gentleman,pikachu,electrike,flaaffy,,,
gentleman,growlithe,,,,,
gentleman,growlithe,growlithe,,,,
hiker,geodude,geodude,onix,,,
hiker,machop,geodude,,,,
hiker,onix,,,,,
hiker,geodude,geodude,machop,geodude,,
hiker,machop,geodude,,,,
hiker,geodude,onix,,,,
hiker,geodude,machop,geodude,,,
hiker,geodude,,,,,
hiker,machop,onix,,,,
hiker,geodude,geodude,geodude,machop,,
hiker,onix,onix,geodude,,,
hiker,geodude,graveler,,,,
hiker,geodude,geodude,graveler,,,
hiker,geodude,onix,,,,
hiker,onix,graveler,,,,
hiker,geodude,machop,,,,
hiker,geodude,machamp,,,,
hiker,graveler,graveler,machoke,,,
hiker,geodude,geodude,geodude,geodude,geodude,
hiker,diglett,geodude,dugtrio,,,
hiker,onix,,,,,
hiker,onix,,,,,
hiker,machop,geodude,machop,,,
hiker,machamp,,,,,
hiker,sandslash,graveler,golem,graveler,,
hiker,geodude,machop,,,,
hiker,geodude,graveler,golem,,,
hiker,onix,,,,,
hiker,onix,,,,,
hiker,onix,,,,,
hiker,geodude,geodude,graveler,,,
hiker,geodude,geodude,geodude,,,
hiker,onix,dugtrio,,,,
hiker,graveler,graveler,graveler,,,
hiker,diglett,dugtrio,,,,
hiker,geodude,machop,,,,
hiker,geodude,machamp,,,,
hiker,graveler,graveler,machoke,,,
hiker,graveler,graveler,machoke,,,
hiker,graveler,golem,machoke,,,
hiker,geodude,geodude,geodude,geodude,geodude,
hiker,diglett,geodude,dugtrio,,,
hiker,onix,,,,,
hiker,machop,geodude,machop,,,
hiker,machamp,,,,,
hiker,sandslash,graveler,golem,graveler,,
hiker,geodude,machop,,,,
hiker,geodude,graveler,golem,,,
hiker,onix,,,,,
hiker,onix,swinub,,,,
hiker,piloswine,dugtrio,steelix,,,
hiker,geodude,geodude,graveler,,,
hiker,geodude,geodude,geodude,,,
hiker,onix,dugtrio,,,,
hiker,graveler,graveler,graveler,,,
hiker,diglett,dugtrio,,,,
hiker,geodude,graveler,nosepass,,,
hiker,numel,machop,,,,
hiker,geodude,geodude,geodude,,,
hiker,baltoy,baltoy,,,,
hiker,machop,machop,,,,
hiker,geodude,geodude,geodude,,,
hiker,geodude,geodude,machop,,,
hiker,geodude,geodude,geodude,geodude,,
hiker,geodude,geodude,geodude,graveler,,
hiker,geodude,geodude,graveler,graveler,,
hiker,geodude,graveler,graveler,graveler,,
hiker,graveler,graveler,graveler,golem,,
hiker,geodude,nosepass,graveler,,,
hiker,numel,machop,,,,
hiker,geodude,,,,,
hiker,geodude,geodude,,,,
hiker,numel,,,,,
hiker,geodude,baltoy,,,,
hiker,geodude,machop,,,,
hiker,geodude,numel,,,,
hiker,geodude,geodude,,,,
hiker,geodude,geodude,machop,,,
hiker,geodude,,,,,
hiker,geodude,numel,,,,
hiker,machop,numel,graveler,,,
hiker,machop,numel,graveler,,,
hiker,machoke,camerupt,golem,,,
hiker,geodude,geodude,geodude,,,
hiker,geodude,geodude,geodude,graveler,,
hiker,geodude,geodude,graveler,graveler,,
hiker,geodude,graveler,graveler,graveler,,
hiker,graveler,graveler,graveler,golem,,
hiker,geodude,onix,,,,
hiker,geodude,,,,,
hiker,geodude,geodude,machop,,,
hiker,geodude,onix,,,,
hiker,sudowoodo,,,,,
hiker,geodude,geodude,graveler,,,
hiker,onix,machoke,,,,
hiker,onix,machamp,,,,
hiker,machop,onix,,,,
hiker,machop,geodude,,,,
hiker,machoke,graveler,,,,
hiker,machop,onix,,,,
hiker,machoke,onix,,,,
hiker,geodude,machop,geodude,geodude,,
hiker,geodude,graveler,,,,
hiker,geodude,geodude,onix,,,
hiker,charizard,,,,,
hiker,charizard,,,,,
hiker,geodude,geodude,geodude,machop,,
hiker,onix,onix,geodude,,,
hiker,onix,graveler,,,,
hiker,onix,graveler,,,,
hiker,onix,,,,,
hiker,golbat,graveler,onix,,,
hiker,zubat,onix,golbat,,,
hiker,geodude,machop,geodude,bidoof,,
hiker,onix,,,,,
hiker,geodude,bronzor,,,,
hiker,geodude,geodude,zubat,geodude,,
hiker,onix,,,,,
hiker,geodude,onix,,,,
hiker,graveler,machoke,,,,
hiker,onix,,,,,
hiker,geodude,machop,,,,
hiker,onix,onix,,,,
hiker,onix,onix,,,,
